Year,LapNumber,RaceProgress,Stint,TyreLife,LapTime_Delta_Clean,laptime_pct_above_median,cumulative_degradation_clean,Position,position_vs_start,PitNextLap,is_wet_lap,neutralised_lap,track_temp_mean,humidity_mean,rainfall_any,wind_speed_mean,circuit_overtaking,circuit_is_street,circuit_deg_tier,laptime_trend,deg_trend,neutralised_prev,Compound_enc,car_tier_enc,circuit_avg_tyre_life,circuit_pit_rate
2024,57,0.7402597402597403,2,45.0,-1.051000000000002,1.5309315215447932,0.9609999999999984,11,4.0,0,0,0,31.80540540540541,51.44594594594594,0.0,1.900675675675676,1,0,1,-1.174459145360274,-1.051000000000002,0,2,1,15.05,0.0251
2025,1,0.0131578947368421,1,1.0,0.0,11.35271497379628,0.0,15,0.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,0.0,0.0,0,0,2,15.05,0.0251
2025,2,0.0263157894736842,1,2.0,-8.047000000000011,2.37033481607161,-8.047000000000011,15,0.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,-8.98238015772467,-8.047000000000011,0,0,2,15.05,0.0251
2025,3,0.0394736842105263,1,3.0,-1.48599999999999,0.7116027526468863,-9.533,15,0.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,-1.6587320634247238,-1.4859999999999882,0,0,2,15.05,0.0251
2025,4,0.0526315789473684,1,4.0,0.6499999999999915,1.4371585004436989,-8.88300000000001,15,0.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,0.7255557477968125,0.6499999999999897,0,0,2,15.05,0.0251
2025,5,0.0657894736842105,1,5.0,-0.5600000000000023,0.8120643177264343,-9.443000000000012,15,0.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,-0.6250941827172646,-0.5600000000000023,0,0,2,15.05,0.0251
2025,6,0.0789473684210526,1,6.0,-0.0909999999999939,0.710486513034886,-9.534000000000006,15,0.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,-0.10157780469154831,-0.09099999999999397,0,0,2,15.05,0.0251
2025,7,0.0921052631578947,1,7.0,0.1970000000000027,0.930385716597926,-9.337000000000003,15,0.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,0.21989920356304005,0.19700000000000273,0,0,2,15.05,0.0251
2025,8,0.1052631578947368,1,8.0,1.554000000000002,2.6650220736383305,-7.783000000000001,17,-2.0,1,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,1.7346363570404044,1.554000000000002,0,0,2,15.05,0.0251
2025,9,0.1184210526315789,2,1.0,,22.07196396778532,,20,-5.0,0,0,0,31.06168831168831,60.44155844155844,0.0,1.5733766233766235,1,0,1,19.40694189414699,0.0,0,2,2,15.05,0.0251
